term,count
climate,28346
change,21554
water,17870
global,14430
land,14174
changes,13188
surface,11288
aerosol,10937
ocean,10642
environmental,10516
system,10467
species,9770
carbon,9145
temperature,8961
university,8932
atmospheric,7993
systems,7963
effects,7943
ozone,7796
conditions,7709
emissions,7527
development,7320
impact,7095
increase,7022
production,6962
air,6928
human,6661
marine,6619
soil,6503
impacts,6402
areas,6358
processes,6332
level,6240
scale,6182
concentrations,5988
area,5857
management,5690
energy,5688
increased,5629
urban,5509
region,5501
organic,5460
natural,5429
higher,5401
regional,5360
regions,5181
growth,5129
ice,5097
information,5065
observations,5065
