doc_id,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,inference_time_sec
b39624d6c38a,None,N/A,None,PB1,"The abstract discusses uncertainties in hydrological models and their impact on climate change assessments, particularly focusing on the role of model structure and parameterization in evaluating water resource impacts at a catchment scale. The text mentions 'climate change' as part of the context but does not provide specific biophysical metrics or analyses related to any Planetary Boundary core definitions.",6.297808885574341
8581e74341ad,PB9,High,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8","The research focuses on analyzing the relationship between surface mass concentrations of fine particulate matter (PM2.5) and black carbon (BC), as well as columnar aerosol optical properties from a sky radiometer and aerosol extinction profiles obtained by multi-axis differential optical absorption spectroscopy (MAX-DOAS). The study emphasizes the role of ultraviolet (UV) spectral region in these analyses, confirming the importance of aerosol absorption in this wavelength range. This research clearly measures particulate matter and aerosols, which are directly related to PB9.",6.990626573562622
03c55a425a95,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study measures the weakening of global atmospheric circulation by about 5% per degree of global warming due to anthropogenic emissions. It calculates a global thermodynamic mass stream function and diagnoses long-term changes in climate-model simulations from the IPCC 5th assessment report. The analysis focuses on surface warming, moistening, tropical moist ascent, meridional overturning circulation, poleward energy transport, and poleward mass transport. These metrics are explicitly related to climate change drivers and impacts.",6.379188060760498
8d8ab7ed834f,PB1,High,None,"PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses simulations of soil organic carbon (SOC) under different climate change scenarios, focusing on changes in mean annual temperature and precipitation. It mentions the CSIRO Mark 2 GCM predictions for annual NPP increase and SOC storage changes by 2100. The research measures and models biophysical metrics such as topsoil organic carbon concentration, annual net primary productivity (NPP), and spatial distribution of these variables under climate change scenarios.",5.938831806182861
ff6fb1e2be19,None,N/A,None,PB1,"The abstract discusses the impacts of climate change on food systems, specifically focusing on wine production. It mentions increased microbial proliferation, changes in sugar and ethanol content, reduced acidity, altered sensory properties, and intensified safety issues due to mycotoxins and biogenic amines. However, it does not provide any quantitative analysis or modeling related to these impacts. The focus is primarily on the biological responses of microorganisms to climate change rather than direct measurement or modeling of environmental metrics.",5.0463457107543945
44cb9ddc20a6,PB1,High,None,"PB2, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on the analysis of surface air temperature (SAT) and sea ice changes in the Arctic over a century-scale perspective, linking these to anthropogenic greenhouse-gas forcing. It uses observational data and model simulations from ECHAM4 and HadCM3 to understand arctic climate variability and predict future trends under increasing anthropogenic forcing. The abstract explicitly mentions warming events linked to sea-ice variability and quantifies recent decreases in Arctic sea ice area.",6.098405361175537
5194c7c1714e,None,N/A,None,PB1,"The abstract discusses the adaptation of spring-fruiting fungi in response to climate change. It mentions 'climate change' as a background context but does not provide any biophysical metrics or models related to climate drivers, warming, emissions, or ecological impacts that would qualify under PB1's activation logic. The focus is on biological responses and adaptations rather than the physical aspects of climate change.",4.319277763366699
ff153d55d5fd,None,N/A,None,None,"The abstract discusses the concept of planetary health and its relevance in personalized medicine, gross environmental concerns, and non-communicable diseases. However, it does not provide any specific biophysical metrics or analyses related to Planetary Boundaries. The focus is on social, political, economic, and medical aspects without explicit measurement or modeling of physical, chemical, biological, or ecological data.",3.9868578910827637
a3d6daa1a396,None,N/A,None,None,"The abstract discusses the analysis of food poverty and vulnerability due to the Covid-19 pandemic in Mexico City, focusing on economic, sociocultural, and environmental impacts. It uses centrality, variability, and correlation parameters but does not provide any biophysical metrics or analyses related to Planetary Boundaries.",3.4647371768951416
eaf6d52d5457,None,N/A,None,"PB1, PB9","The abstract focuses on the sensitivity of regional climate model simulations to domain size and position, specifically in Central America. It discusses low-level circulation and precipitation patterns over Central America, the western Caribbean Sea, and the eastern tropical Pacific. The study analyzes simulated 925 hPa winds over the Caribbean Low-Level Jet (CLLJ) region and evaluates different parameterizations for model performance. While climate change is mentioned as a background context, the research itself does not generate or analyze biophysical metrics related to emissions, warming, or ecological impacts.",5.7577314376831055
