doc_id,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,inference_time_sec
b39624d6c38a,PB1,High,None,None,"Step1 metrics found: ['hydrological models', 'parameter uncertainty', 'model structure uncertainties', 'climate change assessments', 'water resources at the catchment scale']. Step2 candidates: [PB1 (Climate Change)]. Step3 exclusions: None. Step4 dominant focus: PB1.",11.557173013687134
8581e74341ad,PB9,High,None,None,"Step1 metrics found: ['surface mass concentrations of fine particulate matter (PM2.5)', 'black carbon (BC)', 'columnar aerosol optical properties', 'aerosol extinction profiles', 'AOD', 'fAAOD']. Step2 candidates: [PB9]. Step3 exclusions: None. Step4 dominant focus: PB9.",4.531283617019653
03c55a425a95,PB1,High,None,None,"Step1 metrics found: ['global atmospheric circulation', 'anthropogenic emissions', 'climate-model simulations', 'surface warming and moistening', 'Clausius–Clapeyron relation', 'tropical moist ascent', 'meridional overturning circulation', 'poleward energy transport', 'poleward mass transport']. Step2 candidates: [PB1]. Step3 exclusions: None. Step4 dominant focus: PB1.",4.91572642326355
8d8ab7ed834f,PB1,High,None,PB4,"Step1 metrics found: ['mean annual temperature', 'mean annual precipitation', 'annual NPP', 'SOC storage', 'topsoil organic carbon']. Step2 candidates: [PB1, PB4]. Step3 exclusions: [PB4 (no explicit nutrient flows or biogeochemical cycle disruption)]. Step4 dominant focus: [PB1].",4.654404401779175
ff6fb1e2be19,PB1,High,None,PB7,"Step1 metrics found: ['Climate change', 'food security', 'wine typicity', 'microbial proliferation', 'sugars content', 'ethanol content', 'acidity', 'pH', 'perceived sensory properties', 'colour', 'flavour', 'mycotoxins', 'biogenic amines']. Step2 candidates: [PB1, PB7]. Step3 exclusions: [PB7 (no explicit biodiversity or ecosystem integrity mentioned)]. Step4 dominant focus: [PB1].",5.873035669326782
44cb9ddc20a6,PB1,High,None,None,"Step1 metrics found: ['surface air temperature (SAT)', 'sea ice', 'anthropogenic greenhouse-gas forcing']. Step2 candidates: [PB1]. Step3 exclusions: None. Step4 dominant focus: PB1.",3.5409114360809326
5194c7c1714e,PB7,High,PB1,None,"Step1 metrics found: ['Climate change', 'spring-fruiting fungi']. Step2 candidates: [PB1, PB7]. Step3 exclusions: []. Step4 dominant focus: PB7.",3.7947490215301514
ff153d55d5fd,None,N/A,None,None,Step1 metrics found: None. Step2 candidates: None. Step3 exclusions: None. Step4 dominant focus: None.,2.317690372467041
a3d6daa1a396,None,N/A,None,None,Step1 metrics found: None. Step2 candidates: None. Step3 exclusions: None. Step4 dominant focus: None.,2.242892265319824
eaf6d52d5457,PB1,High,None,None,"Step1 metrics found: ['regional climate model simulations', 'domain size and position', '925 hPa winds over the Caribbean low-level jet (CLLJ) region', 'mid-summer drought']. Step2 candidates: [PB1]. Step3 exclusions: None. Step4 dominant focus: PB1.",4.4071104526519775
11e601dd40d6,PB1,High,None,None,"Step1 metrics found: ['numerical simulations', 'Weather Research and Forecasting (WRF) model', 'Coupled Model Intercomparison Project Phase 6 (CMIP6)', 'wind potential', 'climate models']. Step2 candidates: [PB1]. Step3 exclusions: None. Step4 dominant focus: PB1.",4.288223743438721
ca6e200d678b,PB3,High,None,"PB1, PB7, PB9","Step1 metrics found: ['stratospheric water vapour (H2O)', 'Brewer–Dobson circulation (BDC)', 'Quasi Biennial Oscillation (QBO)']. Step2 candidates: [PB3]. Step3 exclusions: None. Step4 dominant focus: PB3.",4.607134103775024
3f68844ce318,None,N/A,None,None,Step1 metrics found: None. Step2 candidates: None. Step3 exclusions: None. Step4 dominant focus: None.,2.2593488693237305
c21a0b99e259,PB1,High,None,None,"Step1 metrics found: ['climate change', 'crop models', 'yield response', 'extreme weather conditions', 'Erosion Productivity Impact Calculator (EPIC)', 'crop yields']. Step2 candidates: [PB1]. Step3 exclusions: None. Step4 dominant focus: PB1.",4.021757364273071
dbde52e667aa,PB1,High,None,None,"Step1 metrics found: ['weight percent of the grain size fraction greater than 250 jj', 'ice rafting periods', 'magnetic stratigraphy', 'ash falls', 'faunal extinctions', 'carbonate fluctuations']. Step2 candidates: [PB1 (Climate Change)]. Step3 exclusions: None. Step4 dominant focus: PB1.",4.470545530319214
01a70dbf979d,PB7,High,PB1,None,"Step1 metrics found: ['climate change', 'dispersal characteristics', 'habitat structure', 'density-dependent dispersion rates', 'global population decline']. Step2 candidates: [PB1, PB7]. Step3 exclusions: [None]. Step4 dominant focus: [PB7].",4.521386623382568
733ba5fc919b,PB2,High,None,PB4,"Step1 metrics found: ['pH', 'O2', 'hypoxia', 'acidification']. Step2 candidates: [PB2, PB4]. Step3 exclusions: [PB4 (no explicit nutrient loading or cycle disruption)]. Step4 dominant focus: [PB2].",4.026538848876953
6d34726fa878,PB2,High,PB4,None,"Step1 metrics found: ['carbon dioxide (CO2) emissions', 'pH', 'plankton community composition', 'primary production', 'respiration rates', 'carbon export', 'mesocosms', 'phytoplankton community', 'zooplankton community', 'community respiration rates', 'total particulate carbon (TPC)', 'net carbon fixation']. Step2 candidates: [PB2, PB4]. Step3 exclusions: [None]. Step4 dominant focus: [PB2].",6.212812423706055
82b2779f08ea,PB2,High,PB1,None,"Step1 metrics found: ['CO2-driven ocean acidification', 'temperature rises', 'pH levels', '+1, +2, +4°C']. Step2 candidates: [PB2 (Ocean Acidification), PB1 (Climate Change)]. Step3 exclusions: [None]. Step4 dominant focus: [PB2 (Ocean Acidification) as the primary focus on pH and acidification effects on marine organisms. PB1 is secondary due to temperature rise experiments but not the main analytical focus.]",6.24326491355896
23aa02497362,PB2,High,PB4,None,"Step1 metrics found: ['carbonate chemistry', 'nutrients', 'pH levels', 'aragonite saturation (Ωarag)', 'total alkalinity (TA)', 'dissolved inorganic carbon (DIC)']. Step2 candidates: [PB2, PB4]. Step3 exclusions: [None]. Step4 dominant focus: PB2.",5.01494836807251
caa0f4f9200b,PB7,High,PB1,None,"Step1 metrics found: ['adult survival rates', 'prey densities', 'climatic parameters', 'spatiotemporal distribution', 'light-based tracking devices (geolocators)', 'satellite transmitters', 'multistate capture-mark-recapture analysis']. Step2 candidates: [PB7, PB1]. Step3 exclusions: [None]. Step4 dominant focus: [PB7].",5.423163175582886
958e8ae09926,PB1,High,None,None,Step1 metrics found: 'Warming Alters Expressions of Microbial Functional Genes Important to Ecosystem Functioning'. Step2 candidates: PB1 (Climate Change). Step3 exclusions: None. Step4 dominant focus: PB1.,3.6151652336120605
d84d0ce7a4c8,PB2,High,None,None,"Step1 metrics found: ['pH 7.7', 'pH 7.5', 'pH 6.7', 'seawater pH', 'immune response', 'phagocytosis', 'superoxide anion production', 'total and differential cell counts']. Step2 candidates: [PB2]. Step3 exclusions: None. Step4 dominant focus: PB2.",5.0417397022247314
ab2d096a1aaf,PB4,High,None,None,"Step1 metrics found: ['nitrate enrichment', 'microbial responses', 'biogeochemical responses']. Step2 candidates: [PB4 (Biogeochemical Flows)]. Step3 exclusions: None. Step4 dominant focus: PB4.",3.621799945831299
84915f5956b8,PB2,High,None,PB1,"Step1 metrics found: ['pH', 'potentiometric pH sensor', 'tungsten oxide (WO3) nanofibers', 'proton diffusion', 'EMF signal changes in artificial seawater']. Step2 candidates: [PB2]. Step3 exclusions: None. Step4 dominant focus: PB2.",4.485263824462891
a31195146871,PB2,High,None,PB7,"Step1 metrics found: ['oxygen consumption', 'nutrient regeneration rates', 'pH', 'temperature']. Step2 candidates: [PB2, PB7]. Step3 exclusions: [PB7]. Step4 dominant focus: [PB2].",3.7949976921081543
0866b31f11c4,None,N/A,None,None,Step1 metrics found: None. Step2 candidates: None. Step3 exclusions: None. Step4 dominant focus: None.,2.300476551055908
9480a86811a3,PB7,High,None,None,"Step1 metrics found: ['fishery-independent species survey', 'destructive sampling', 'reef dynamics']. Step2 candidates: [PB7]. Step3 exclusions: None. Step4 dominant focus: PB7.",3.613532304763794
66c76ad14a95,None,N/A,None,None,Step1 metrics found: None. Step2 candidates: None. Step3 exclusions: None. Step4 dominant focus: None.,2.311997175216675
06cdb4126b53,PB7,High,None,None,"Step1 metrics found: ['deep microbial life', 'subseafloor microbial ecosystems', 'Earth dynamics']. Step2 candidates: [PB7]. Step3 exclusions: None. Step4 dominant focus: PB7.",3.3440029621124268
a60e993db94a,PB2,High,PB7,None,"Step1 metrics found: ['pH', 'fertilization success', 'intracellular pH changes']. Step2 candidates: [PB2, PB7]. Step3 exclusions: [None]. Step4 dominant focus: [PB2].",4.114284992218018
bdf5eac988ad,PB8,High,None,None,"Step1 metrics found: ['polylactide (PLA)', 'circular economy', 'end-of-life', 'waste management strategies']. Step2 candidates: [PB8]. Step3 exclusions: None. Step4 dominant focus: PB8.",3.611257553100586
aac5539aa27b,PB4,High,None,None,"Step1 metrics found: ['N2O emissions', 'soil pH', 'NO3 reduction', 'N2 production']. Step2 candidates: [PB4 (Biogeochemical Flows)]. Step3 exclusions: None. Step4 dominant focus: PB4.",3.9494259357452393
ed3a2e5f0c07,PB2,High,None,PB4,"Step1 metrics found: ['elevated sea surface temperature', 'ocean acidification', 'eutrophication', 'seawater temperature', 'microbial community dynamics', 'total nitrogen', 'bacterial phyla', 'archaeal associations', 'Thaumarchaeota diversity', 'amoA gene patterns', 'eukaryotic community']. Step2 candidates: [PB2, PB4]. Step3 exclusions: [PB4]. Step4 dominant focus: [PB2].",5.814504623413086
080e222eec5e,PB3,High,None,"PB1, PB9","Step1 metrics found: ['chlorofluorocarbons (CFCs)', 'nitrous oxide (N2O)', 'sulfur hexafluoride (SF6)', 'ozone (O3)', 'water vapor (H2O)', 'methane (CH4)', 'carbon monoxide (CO)', 'molecular hydrogen (H2)']. Step2 candidates: [PB3]. Step3 exclusions: [None]. Step4 dominant focus: PB3.",5.790735721588135
074d00932720,PB3,High,None,None,"Step1 metrics found: ['polar stratospheric clouds (PSCs)', 'HCl', 'ClO', 'temperature history', 'nitric acid trihydrate (NAT)', 'super-cooled ternary solution (STS)', 'ice clouds', 'frost point', 'chlorine activation']. Step2 candidates: [PB3]. Step3 exclusions: []. Step4 dominant focus: PB3.",4.915848970413208
5b69b4b177c8,PB3,High,None,None,"Step1 metrics found: ['ozone measurements', 'global ozonesonde network', 'Tier 0 ozone number densities and mixing ratios', 'least squares regression model', 'Legendre polynomials', 'Fourier series', 'total column ozone fields']. Step2 candidates: [PB3]. Step3 exclusions: []. Step4 dominant focus: PB3.",4.552422285079956
